source,id,url,title,abstract,publication_date,year,doi
pubmed,42260072,https://pubmed.ncbi.nlm.nih.gov/42260072/,Benchmarking machine learning architectures for menstrual recovery prediction using physiologically informed synthetic wearable data.,"Secondary amenorrhea is a heterogeneous condition with implications for reproductive, cardiovascular, and bone health. Existing machine learning approaches in menstrual health focus on cycle prediction rather than recovery modeling in pathological conditions. We present a proof-of-concept framework to model menstrual recovery within three months from non-invasive wearable-derived physiological features and self-reported inputs, including heart rate variability, resting heart rate, sleep, physical activity, skin temperature, perceived stress, age, and duration of amenorrhea. Using a synthetically generated dataset of 5000 individuals encoding physiologically informed feature-outcome relationships, twelve models were evaluated across baseline and longitudinal configurations. The best-performing model (XGBoost) achieved an AUC of 0.914, with ablation analysis confirming baseline features capturing the majority of learnable signal (ΔAUC = 0.020). Permutation-based null models confirmed non-trivial predictive structure (AUC = 0.503), and XGBoost outperformed rule-based baselines (ΔAUC = 0.044). SHAP analysis identified perceived stress and heart rate variability as dominant predictors, consistent with the data-generating structure. As the wearable-derived features are routinely captured by consumer devices and the self-reported inputs require brief periodic assessment, this framework establishes a foundation for wearable-based modeling of menstrual recovery, with future work required for real-world clinical validation and integration into health monitoring systems.",2026 Jun 08,2026,
pubmed,42260064,https://pubmed.ncbi.nlm.nih.gov/42260064/,Enhancing life jacket detection for maritime search and rescue using YOLO models and illumination-robust preprocessing techniques.,"Maritime Search and Rescue (SAR) operations are often challenged by vast search zones, poor visibility, and extreme lighting conditions, especially during nighttime missions. This study investigates the use of computer vision and object detection algorithms to automate life jacket detection and improve SAR effectiveness. To address the absence of domain-specific datasets, a custom image dataset featuring multiple life jacket types was developed. A two-fold methodology was adopted: evaluating the performance of YOLO object detection models (versions 5 through 12) on the dataset, and incorporating advanced image preprocessing techniques to enhance detection under challenging lighting conditions. The results demonstrate that preprocessing significantly improves detection performance in both overexposed and underexposed scenarios. Among all evaluated models, YOLOv10 achieved the strongest combination of precision and real-time inference speed (43.9 FPS on Tesla T4 GPU), making it a promising candidate for time-sensitive rescue applications. While individual cells of Tables 5, 6, 7, 8 and 9 show other detectors achieving higher precision under specific lighting × preprocessing combinations, YOLOv10 offers the best aggregate trade-off across the evaluated criteria. This work contributes a scalable benchmark solution for improving SAR outcomes by enabling faster and more reliable identification of individuals in distress at sea.",2026 Jun 08,2026,
pubmed,42259901,https://pubmed.ncbi.nlm.nih.gov/42259901/,Intelligent Parkinson's disease identification via Residual-Shuffle Network optimized by Improved Dandelion Optimizer.,"Parkinson's disease (PD) presents significant challenges due to its intricate symptoms and often delayed diagnosis. Therefore, early detection is vital for effective management and slowing the disease progression. Recently, machine learning based methods show high performance in this purpose. This research introduces a new machine learning approach that combines Residual-Shuffle Network (ResNet) with an advanced metaheuristic, the Improved Dandelion Optimizer (IDO) by integrating adaptive parameter control and enhanced exploration-exploitation balance, to provide an accessible and precise solution for automated PD detection. The proposed framework addresses previous limitations by effectively adjusting model hyperparameters and network weights without the need for expensive or sophisticated data collection devices. The proposed IDO-ResShuffle framework achieved strong performance on the HandPD dataset, obtaining 97.6% accuracy, 96.9% F1-score, 97.2% sensitivity, and 97.1% specificity. These results demonstrate the effectiveness of jointly optimizing the network architecture and hyperparameters through the Improved Dandelion Optimizer, enabling more reliable identification of Parkinson's disease from handwriting patterns. These enhancements empower healthcare professionals to make informed decisions about patient care sooner and potentially slow down the progression of symptoms. By enhancing accessibility and reliability, this approach can enhance clinical decision-making and support timely intervention in PD management.",2026 Jun 08,2026,
pubmed,42259120,https://pubmed.ncbi.nlm.nih.gov/42259120/,Association Between Lactate-to-Albumin Ratio and 28-Day All-Cause Mortality in ICU-Admitted Acute Pancreatitis Patients: Development and Validation of a Machine Learning-Based Predictive Model Integrating Albumin-Corrected Indices.,"Patients with severe acute pancreatitis (AP) carry a high mortality risk. The lactate-to-albumin ratio (LAR) has shown prognostic value in conditions including sepsis, heart failure and acute respiratory failure. We aimed to assess LAR's predictive value for 28-day mortality in ICU-admitted AP patients and to establish a machine learning-based predictive model integrating three albumin-derived indices-LAR, red blood cell distribution width-to-albumin ratio (RAR), and blood urea nitrogen-to-albumin ratio (BAR)-for this outcome. We analysed a cohort of 380 ICU-admitted AP patients from the MIMIC-IV database (2008-2022) as the training set to evaluate LAR's prediction of 28-day mortality. Predictors were screened using the Boruta algorithm, incorporating LAR, RAR, BAR and clinical variables (e.g., age, creatinine). Seven machine learning models were developed to predict 28-day all-cause mortality. Internal validation employed a 2:1 random data split; external validation used 298 AP patients from the eICU-CRD database (2014-2015). The SHAP method elucidated prediction mechanisms. Multivariate Cox regression analysis revealed that patients in the highest quartile of LAR (>1.72 mmol/g) exhibited a significantly elevated mortality risk (adjusted HR = 8.25, 95% CI 2.57-26.54). The Boruta feature selection algorithm identified 11 independent predictors, including LAR, BAR, RAR, and age. Following 5-fold internal cross-validation, the Extratrees model demonstrated superior performance in the training set benchmark testing (AUC = 0.8546). During internal validation, the Extratrees model maintained optimal predictive capability (AUC = 0.852). Calibration curve analysis and Decision Curve Analysis (DCA) substantiated its high predictive accuracy and clinical net benefit. External validation further corroborated the robustness of Extratrees model (AUC = 0.82). A web-based computational platform (https://bssrmyy.shinyapps.io/DynNom_Model2/) has been deployed to enable online individualized risk assessment. LAR is a strong independent predictor of 28-day mortality in ICU-admitted AP patients. This study pioneers the development and validation of a prognostic prediction model for AP based on three albumin-corrected indices (LAR, BAR, RAR) and machine learning. The Extratrees model performed excellently in both internal and external validations, providing an efficient tool for precise risk stratification and early intervention in ICU-managed AP. Not applicable (retrospective cohort study).",2026 Jun 04,2026,
pubmed,42252708,https://pubmed.ncbi.nlm.nih.gov/42252708/,SNAC-DB: An ML-ready database for antibody and NANOBODY® VHH-antigen complexes with expanded structural diversity and real-world benchmarking.,"Predicting antibody and NANOBODY® VHH-antigen complexes remains a critical challenge for state-of-the-art structure prediction models, limiting their impact in therapeutic discovery pipelines. We introduce SNAC-DB, an ML-ready database and curation pipeline enriched with structural biology expertise, designed to accelerate model accuracy and generalization by providing 31-37% expanded structural diversity over existing resources like SAbDab through comprehensive re-curation that extracts maximum value from available experimental structures. SNAC-DB expands coverage by capturing often-overlooked complexes and accurately identifying complete multi-chain epitopes through improved biological-assembly based logic. Built for ML practitioners, SNAC-DB provides standardized formats with multi-threshold structure-based clustering to enable principled sample weighting during training. Using a rigorous benchmark of public PDB entries deposited post-May 2024 plus confidential therapeutic structures, we evaluate seven leading models (Protenix-v1, OpenFold-3p2, RosettaFold-3, Boltz-2, Boltz-1x, Chai-1, and AlphaFold2.3-multimer) with evaluation methodology tailored to antibody/NANOBODY® VHH-antigen complexes to ensure correct handling of multi-chain epitopes, revealing systematic performance gaps: success rates rarely exceed 25%, confidence-based ranking fails to identify best predictions even when accurate structures exist in ensembles, and all models consistently struggle with therapeutically relevant NANOBODY® VHHs. Systematic evaluation of sampling strategies demonstrates that while generating 1000 samples per target substantially increases the likelihood of producing accurate structures (oracle selection improves from 11.9% to 50.5%), confidence-based ranking remains nearly flat (between 10.9% and 14.9%), revealing that improved ranking mechanisms represent a more tractable path to performance gains. Finally, fine-tuning GeoDock on SNAC-DB yields higher success rates than training on SAbDab (11.0% vs. 7.1% for antibodies; 7.0% vs. 4.0% for NANOBODY® VHHs), suggesting that SNAC-DB's expanded structural diversity translates to improved model generalization.",2026 Jul,2026,
pubmed,42245940,https://pubmed.ncbi.nlm.nih.gov/42245940/,Heart failure risk prediction based on machine learning and interpretability analysis.,"Heart failure (HF) is a major public health issue globally, requiring early risk stratification to improve patient outcomes. Despite numerous machine learning (ML) applications in HF prediction, critical gaps persist: lack of systematic algorithm benchmarking under standardized conditions, reliance on single explainable AI (XAI) methods, and insufficient attention to class imbalance. We provide the first comprehensive benchmark of 10 ML algorithms for HF risk stratification and establish a validated dual-XAI framework for clinical deployment. We analyzed a publicly available dataset of 2,169 patients with 15 clinical features. Ten ML algorithms (five traditional: Logistic Regression, Decision Tree, Support Vector Machine, K-Nearest Neighbors, Naive Bayes; five ensemble: Random Forest, Gradient Boosting, XGBoost, LightGBM, CatBoost) were compared under rigorously standardized conditions, including an 80:20 stratified train-test split, identical preprocessing, and a fixed random seed. Performance was evaluated using six complementary metrics: Receiver Operating Characteristic-Area Under Curve (ROC-AUC), accuracy, precision, recall, F1-score, and Precision-Recall AUC (PR-AUC). SHapley Additive exPlanations (SHAP) and Local Interpretable Model-agnostic Explanations (LIME) were applied to interpret the best model, with quantitative cross-method concordance analysis. Logistic Regression achieved optimal performance (ROC-AUC = 0.9451, accuracy = 88.25%, F1-score = 0.8294, PR-AUC = 0.9113), outperforming complex ensemble methods. Left Ventricular Ejection Fraction (LVEF) was the dominant predictor (SHAP normalized importance = 1.0; LIME weight = 0.2917), followed by diabetes, age, hypertension, and serum creatinine, with 100% SHAP-LIME concordance in top-3 rankings. The false-negative rate on the test set was 18.42% (28/152), supporting the model's clinical utility for high-risk patient identification. Key contributions include: (1) the first systematic comparison of 10 algorithms under identical experimental conditions; (2) a novel dual-XAI framework (SHAP + LIME) with quantified cross-validation, addressing single-method biases; (3) demonstration that simple, interpretable models outperform complex ensembles on moderate-sized datasets (n = 2,169), offering practical guidance for resource-limited settings; and (4) quantitative validation of LVEF dominance across interpretation methods. The validated framework shows potential for clinical risk stratification systems, though prospective validation against independent clinical outcomes is required.",2026,2026,
pubmed,42245064,https://pubmed.ncbi.nlm.nih.gov/42245064/,Comparing Pathway-Informed Polygenic Risk Score Strategies: A multi-cohort evaluation of Amyloid-β.,"To systematically evaluate pathway-informed polygenic risk score (PRS) strategies and determine which approaches most effectively leverage biological annotations for risk prediction, using brain amyloid-β (Aβ) positivity as a case study. We systematically benchmarked approaches for integrating pathway information into PRSs construction to predict brain Aβ positivity. Using two cohorts, the Alzheimer's Disease Neuroimaging Initiative (ADNI, n = 969) and Australian Imaging, Biomarkers and Lifestyle (AIBL, n = 251), we compared Apolipoprotein E ( <i>APOE</i> ) genetic risk score (GRS), clumping and thresholding (C+T) PRS, pathway-guided single nucleotide polymorphism (SNP) selection PRS, and pathway-specific PRSs ensembled via machine learning. Pathways were derived from manually curated literature or from pathway databases via Functional Mapping and Annotation (FUMA). In cross-validation on the ADNI cohort, pathway-informed PRS using a narrow-set of pathways to guide SNP selection (PathPRS-SNP <sub>Lit</sub> without <i>APOE</i> locus) significantly outperformed the standard PRS model (median AUC = 0.742, p = 0.006) and the APOE locus model (median AUC = 0.736, p = 5.1 × 10 <sup>-5</sup> ) based on the Mann-Whitney U test, achieving a median AUC of 0.763. This model showed enhanced ability to identify subgroups within the 10% lowest-and highest risk groups compared to the current standard of <i>APOE</i> locus alone (odds ratio = 0.67, 95% CI: 0.56-0.81; and OR = 13.23, 95% CI: 10.23-17.11), highlighting its clinical potential. Using a focused set <b>l</b> iterature-curated pathways outperformed using a broader set of database-derived pathways across configurations. When contrasting strategies for aggregating information across pathways, we observed that using pathways to guide selection of SNPs and then building a single PRS performed comparably to building PRS for each pathway and using machine learning (ML) to aggregate these, though the latter enabled pathway-level interpretability. <b>S</b> imilar trends were observed in the external AIBL validation dataset. Pathway-informed PRS can meaningfully improve genetic risk enrichment for Aβ positivity beyond APOE and standard C+T approaches, provided pathway definitions are carefully curated. The choice of pathway source has the strongest impact on predictive performance with aggregation strategies or ML model choice having far less impact. Our findings highlight the utility of literature-curated, pathway-informed PRSs for Aβ prediction and offer practical guidance for pathway-informed PRS construction in other polygenic traits.",2026 May 27,2026,
pubmed,42242041,https://pubmed.ncbi.nlm.nih.gov/42242041/,Robust and Interpretable AI for Acute Appendicitis: A Simulation-to-Clinical Validation Pipeline.,"Accurate and timely diagnosis of Acute Appendicitis remains a major challenge in emergency medicine, largely because of its overlapping symptoms and heterogeneous clinical presentations. This study introduces the Robust and Interpretable Simulation-Analysis (RISA) framework, a dual-phase methodology designed to evaluate diagnostic classifiers for robustness, generalizability, and interpretability. Six supervised learning algorithms (Fisher Discriminant Analysis, Linear Discriminant Analysis, Quadratic Discriminant Analysis, Logistic Regression, Support Vector Machine, and Random Forest) were systematically assessed through 24 factorial simulation scenarios that varied in class imbalance, dimensionality, covariance structure, and nonlinearity of decision boundaries. The simulation phase was followed by clinical validation on two independent datasets: the adult Appendicitis dataset (n=106) and the Regensburg Pediatric Appendicitis (RPA) dataset (n=782). Model interpretability was investigated using Local Interpretable Model-agnostic Explanations (LIME) and SHapley Additive exPlanations (SHAP). In simulation experiments, Linear Discriminant Analysis and Support Vector Machine exhibited balanced sensitivity and specificity, whereas Random Forest displayed the highest resilience under nonlinear and heterogeneous situations. In clinical validation, Linear Discriminant Analysis attained the greatest AUC of 0.908 on the appendicitis dataset and 0.729 on the RPA dataset. For the Appendicitis dataset, Fisher Discriminant Analysis demonstrated optimal sensitivity (1.00), whereas Quadratic Discriminant Analysis attained flawless specificity (1.00). In the RPA cohort, the Support Vector Machine demonstrated the highest overall discrimination (AUC = 0.762) with consistent fold-wise performance. LIME and SHAP consistently identified clinically established biomarkers, including white blood cell count, neutrophil percentage, and body temperature, supporting the medical validity of the model findings. The RISA framework offers a reproducible and transparent methodology for creating reliable diagnostic artificial intelligence by integrating simulation-based benchmarking with interpretable clinical validation. It connects algorithmic robustness with clinical reliability, facilitating the implementation of explainable machine learning models for the diagnosis of Acute Appendicitis.",2026 May 30,2026,
pubmed,42239812,https://pubmed.ncbi.nlm.nih.gov/42239812/,Handheld hyperspectral imaging dataset of annual sowthistle and little mallow under abiotic stress for machine learning.,"Machine learning has become an increasingly important tool for overcoming agricultural challenges by enabling efficient and consistent classification of crop-related data. Training such supervised models requires high quality labeled datasets. This work presents a dataset consisting of raw and preprocessed hyperspectral imaging (HSI) files capturing reflectance in the visible to near-infrared range (400-1000 nm) from two problematic weed species on California's Central Coast: annual sowthistle (<i>Sonchus oleraceus</i>) and little mallow (<i>Malva parviflora</i>). Hyperspectral imaging provides rich spectral-spatial data cubes that can support the development of deep learning models and autonomous technology for precision weed management. Plants were grown in a greenhouse under five conditions: standard, drought, overwatering, excess fertilizer, and no fertilizer. Custom MATLAB scripts were utilized for preprocessing, including k-means clustering to define regions of interest (ROIs), and extraction of spectral metrics. Data visualization was performed using Wolfram language and MATLAB. The dataset includes both raw and ENVI-formatted hyperspectral cubes and pre-processed MATLAB outputs, supporting spectral feature engineering, benchmark development, and exploratory machine learning workflows for controlled environment stress classification.",2026 Jun,2026,
pubmed,42225794,https://pubmed.ncbi.nlm.nih.gov/42225794/,Respiratory sound-based AI screening of asthma and COPD via multi-feature fusion and CatBoost classification.,"Asthma and chronic obstructive pulmonary disease (COPD) are significant global health burdens with conventional diagnosis relying on resource-intensive spirometry. This paper presents a reproducible multimodal respiratory sound screening model combining complementary acoustic and clinical representations. The proposed method fuses handcrafted spectral-temporal features (MFCCs, chroma, spectral contrast, tonnetz, mel-spectrogram, tempogram) with precomputed cough and vowel embeddings and structured clinical metadata, processed via a class-weighted CatBoost ensemble on the standardized AIRS Kaggle benchmark dataset. The model achieves an overall accuracy of 90.3% with class-wise F1-scores of 0.945 (Healthy), 0.915 (Asthma), and 0.842 (COPD). Systematic ablation experiments confirm the importance of multimodal fusion (-7.8% accuracy without full feature fusion), the attention mechanism (-4.9%), and data augmentation (-6.7%). Additional metrics such as, Matthews Correlation Coefficient (MCC = 0.856) and Cohen's Kappa (κ = 0.849) - confirm robust classification under class imbalance. Structured multimodal feature fusion with gradient boosting enables scalable, reproducible respiratory disease screening applicable to telemedicine. Future work should address prospective validation on diverse, multi-institutional clinical cohorts.",2026 Jun 01,2026,
